project_name,project_ticker,project_link,project_round,project_total_raised,project_pre_valuation,project_categories,project_roi,project_date,project_total_investors
Fuel Network,FUEL,https://icodrops.com/fuel-network/,Public Sale,90900000,703200000,Layer-2,3.59,2024-12-17,15
ArkeFi,RKFI,https://icodrops.com/arkefi/,Public Sale,,20000000,Blockchain Service,,2024-12-26,0
Huddle01,,https://icodrops.com/huddle01/,Node Sale Round,4500000,,Social,,2024-11-06,10
Qorbi World,QORBI,https://icodrops.com/qorbi-world/,IDO on MoonStarter,,10000000,GameFi,,2024-12-28,0
AZCoiner,AZC,https://icodrops.com/azcoiner/,IDO on Spores,,20000000,Blockchain Service,,2024-12-27,0
Sentient AI,SETAI,https://icodrops.com/sentient-ai/,IDO on Polkastarter,,,Artificial Intellig…,,2024-12-27,0
Swell Network,SWELL,https://icodrops.com/swell-network/,Points Farming,3750000,341100000,Liquid Staking Prot…,0.38,2024-01-29,11
Hive Intelligence,HINT,https://icodrops.com/hive-intelligence/,Public Sale,2640000,8000000,Infrastructure,,2024-12-20,0
CratD2C,CRATD2C,https://icodrops.com/cratd2c/,IEO,1210000,160000000,Blockchain,,2024-12-17,0
Nexade,NEXD,https://icodrops.com/nexade/,SHO on DAO Maker,,70000000,RWA (Real World Ass…,,2024-12-13,0
Swing,SWING,https://icodrops.com/swing/,Public Sale,9750000,60000000,DeFi,0.21,2024-12-18,10
Help Steps,HSX,https://icodrops.com/help-steps/,SHO on DAO Maker,,5000000,Move To Earn,,2024-12-12,3
Ringfence,,https://icodrops.com/ringfence/,Airdrop,1500000,,Blockchain Service,,2024-12-09,9
WELF,WELF,https://icodrops.com/welf/,IDO on Polkastarter,3450000,18000000,RWA (Real World Ass…,,2024-12-18,0
Glacier Network,GLS,https://icodrops.com/glacier-network/,Public Sale,16000000,10760000,Artificial Intellig…,0.32,2024-12-18,18
Earn’M,EARNM,https://icodrops.com/earnm/,IDO on ChainGPT,200000,92100000,DePIN,1.85,2024-12-17,0
Script Network,SCPT,https://icodrops.com/script-network/,Node Sale Round,1690000,8530000,Blockchain Service,0.91,2024-12-01,0
Pudgy Penguins,PENGU,https://icodrops.com/pudgy-penguins/,NFT Sale,20000000,3520000000,Meme,0.65,2024-12-17,9
Terrace,TRC,https://icodrops.com/terrace/,Public Sale,4700000,25000000,DeFi,,2024-12-09,6
vana,VANA,https://icodrops.com/vana/,Binance Launchpool,25000000,1920000000,Artificial Intellig…,,2024-12-14,3
MyStandard,MYST,https://icodrops.com/mystandard/,IDO on SeaPad,1900000,38000000,Blockchain Service,,2024-12-14,4
Bluwhale,BLUAI,https://icodrops.com/bluwhale/,Node Sale Round,7000000,,Blockchain Service,,2024-11-14,8
Berally,BRLY,https://icodrops.com/berally/,Whitelist Sale,,,Social,,2024-12-10,0
STAGE,STAGE,https://icodrops.com/stage/,IDO on Decubate,4600000,15280000,Social,1.21,2024-12-08,12
Cyclean,CCL,https://icodrops.com/cyclean/,SHO on DAO Maker,1100000,35000000,Blockchain Platform,,2024-12-07,0
Pentagon Games,PEN,https://icodrops.com/pentagon-games/,IDO on Chainboost,6300000,5690000,Gaming,0.85,2024-12-11,9
Simon's Cat,CAT,https://icodrops.com/simons-cat/,Airdrop,28000,25020000,Memecoin,,2024-12-09,0
Wild Forest,WF,https://icodrops.com/wild-forest/,IDO on Impossible Finance,5300000,56240000,Gaming,1.25,2024-12-04,14
Seraphnet,DLLM,https://icodrops.com/seraphnet/,Public Sale,,,Blockchain Infrastr…,,2024-12-09,0
Casper AI,AIAGENT,https://icodrops.com/casper-ai/,IDO on Polkastarter,700000,3520000,AI Platform,,2024-12-10,2
1Hub.ai,1HUB,https://icodrops.com/1hubai/,IDO on Seedify,396000,,Artificial Intellig…,,2024-12-10,0
Bybit,,https://icodrops.com/bybit/,Airdrop,,,CEX,,2024-11-11,0
Burnt Finance,BURNT,https://icodrops.com/burnt-finance/,Launchpool on Bitget,36000000,672200000,Blockchain,0.37,2024-12-05,22
SupraOracles,SUPRA,https://icodrops.com/supraoracles/,Incentivized Activities,27900000,2810000000,Blockchain,,2024-11-26,20
Active Token,ACTIVE,https://icodrops.com/active-token/,IDO on KingdomStarter,100000,18000000,GameFi,,2024-12-09,0
U2U Network (Unicorn Ultra),U2U,https://icodrops.com/u2u-unicorn-ultra/,Public Sale,23800000,78090000,DePIN,1.12,2024-12-02,11
War Three Kingdom,W3KT,https://icodrops.com/war-three-kingdom/,IDO on BSCS,2500000,76000000,Gaming,,2024-12-07,0
SUI Agents,SUIAI,https://icodrops.com/sui-agents/,IDO on Polkastarter,500000,2620000,Artificial Intellig…,,2024-12-05,2
Pepe Unchained,PEPU,https://icodrops.com/pepe-unchained/,Presale,73780000,82400000,Blockchain,,2024-06-16,0
Movement Labs,MOVE,https://icodrops.com/movement-labs/,Airdrop,41400000,8650000000,Infrastructure,1.08,2024-12-03,44
Lumoz,MOZ,https://icodrops.com/lumoz/,Airdrop,10000000,156800000,Blockchain,0.34,2024-12-06,17
PLAY (ex.READYgg),PLAY,https://icodrops.com/play/,NFT Sale,11350000,160000000,Gaming,,2024-12-04,17
EYWA,EYWA,https://icodrops.com/eywa/,IDO on Gagarin,9280000,162600000,Blockchain Service,2.32,2024-12-02,5
Superseed,SUPR,https://icodrops.com/superseed/,Testnet,1500000,100000000,Blockchain,,2024-09-13,0
Anzen,ANZ,https://icodrops.com/anzen/,Public Round,7000000,177100000,RWA (Real World Ass…,2.95,2024-12-02,9
CoputeAI,COPU,https://icodrops.com/coputeai/,SHO on DAO Maker,,,Blockchain Service,,2024-11-25,0
Renovi,RNVI,https://icodrops.com/renovi/,IDO on Spores,2520000,7190000,Advertising,0.55,2024-11-28,8
Renzo Protocol,REZ,https://icodrops.com/renzo-protocol/,Points Farming,20200000,363400000,Liquid Staking Prot…,0.12,2023-12-06,20
Naxy AI,NAXY,https://icodrops.com/naxy-ai/,IDO on Spores,135000,,Security,,2024-11-27,0
Ink Finance,QUILL,https://icodrops.com/ink-finance/,IDO on OpenPad,5000000,13570000,Blockchain Service,0.23,2024-11-27,13
MeAI,MEAI,https://icodrops.com/meai/,IDO on Spores,750000,6500000,GameFi,,2024-11-26,0
KOLZ,KOLZ,https://icodrops.com/kolz/,IDO on Poolz,200000,5000000,Social,,2024-11-27,0
Major,,https://icodrops.com/major/,Tap-to-Earn,,60300000,Gaming,,2024-11-28,0
Shieldeum,SDM,https://icodrops.com/shieldeum/,IDO on ChainGPT,1800000,9000000,DePin,,2024-11-26,0
Boudicea,GLD,https://icodrops.com/boudicea/,IDO on Spores,,,NFT,,2024-11-25,0
Polar Fighters,PFT,https://icodrops.com/polar-fighters/,IEO on Gate.io,,,NFT,,2024-11-25,0
Fortified X,FXAS,https://icodrops.com/fortified-x/,IDO on Spores,,18000000,DeFi,,2024-11-25,1
World of Dypians,WOD,https://icodrops.com/world-of-dypians/,IDO on Ordify,5010000,231400000,Gaming,5.44,2024-11-25,7
Hyperliquid,HYPE,https://icodrops.com/hyperliquid/,Retroactive Airdrop,,26000000000,DEX,,2024-03-01,0
Plena,PLENA,https://icodrops.com/plena/,IDO on ChainGPT,7750000,25080000,Wallet,0.98,2024-11-25,24
Laika,LAIKA,https://icodrops.com/laika/,Public Sale,350000,20000000,Blockchain,,2024-11-11,0
Moonveil,,https://icodrops.com/moonveil/,Node Sale Round,11000000,,Gaming,,2024-10-22,11
Kima,KIMA,https://icodrops.com/kima/,IDO on Polkastarter,6000000,125430000,DeFi,2.8,2024-11-25,11
HashKey,HSK,https://icodrops.com/hashkey/,Incentivized Activities,,,Investment,,2024-11-26,0
Namada,NAM,https://icodrops.com/namada/,Testnet,,,Blockchain,,2024-11-12,0
RWA Inc,RWA,https://icodrops.com/rwa-inc/,IDO on Ape Terminal,1180000,101500000,Blockchain Service,10.26,2024-11-20,7
E4C: Final Salvation,E4C,https://icodrops.com/e4c-final-salvation/,SHO on DAO Maker,,22590000,Gaming,0.23,2024-11-19,17
Arris,ARS,https://icodrops.com/arris/,IEO on Gate.io,,30000000,Social,0.13,2024-11-21,4
Pink Moon Studios,PIMS,https://icodrops.com/pink-moon-studios/,IDO on Magic Square,,10000000,Gaming,,2024-11-20,2
Pett AI,AIP,https://icodrops.com/pett-ai/,IDO on Ape Terminal,150000,2500000,Gaming,,2024-07-23,0
Ponder,PNDR,https://icodrops.com/ponder/,IDO on Ape Terminal,,10000000,DeFi,,2024-06-28,4
0G,,https://icodrops.com/0g/,Node Sale Round,325000000,,Infrastructure,,2024-11-07,16
Usual,USUAL,https://icodrops.com/usual/,Binance Launchpool,18500000,3770000000,RWA (Real World Ass…,2.59,2024-11-15,40
Kontos Protocol,,https://icodrops.com/kontos-protocol/,Airdrop,6000000,,Blockchain Service,,2024-10-28,1
Zyfi,ZFI,https://icodrops.com/zyfi/,IDO on Finceptor,2000000,19120000,Blockchain Service,0.96,2024-11-15,10
Linea,,https://icodrops.com/linea/,Points Farming,,7000000000,Blockchain,,2024-06-01,0
AI Nexus,A1,https://icodrops.com/ai-nexus/,IDO on xLaunchpad,1680000,12320000,Social,2.05,2024-11-11,1
SingSing,SING,https://icodrops.com/singsing/,IDO on Kommunitas,3120000,43200000,Social,,2024-11-11,4
Blast Royale,NOOB,https://icodrops.com/blast-royale/,Public Sale,5000000,33280000,Gaming,10.0,2024-11-11,20
Legend of Arcadia,ARCA,https://icodrops.com/legend-of-arcadia/,GemPool on Kucoin,4000000,34570000,Gaming,0.35,2024-11-01,4
Zulu Network,ZULU,https://icodrops.com/zulu-network/,IDO on Bounce,3000000,12090000,Infrastructure,0.15,2024-11-10,11
Magic Eden,ME,https://icodrops.com/magic-eden/,Points Farming,159500000,3170000000,NFT,,2024-03-01,8
Credbull,CBL,https://icodrops.com/credbull/,SHO on DAO Maker,5200000,15120000,Lending Platform,0.05,2024-10-29,7
BitSmiley,SMILE,https://icodrops.com/bitsmiley/,Launchpool on Bybit,10000000,17900000,DeFi,0.16,2024-10-31,18
deBridge,DBR,https://icodrops.com/debridge/,Points Farming,10500000,357000000,Bridge Token,1.43,2024-04-23,21
Sonic Labs (prev. Fantom),S,https://icodrops.com/sonic-labs/,Airdrop,10000000,,Blockchain,,2024-09-02,11
K4 Rally,K4R,https://icodrops.com/k4-rally/,IDO on Spores,1270000,15000000,GameFi,,2024-10-25,0
Crypto Farmers,FARM,https://icodrops.com/crypto-farmers/,IDO on Kommunitas,,20000000,Gaming,,2024-10-25,0
Blast,BLAST,https://icodrops.com/blast/,Points Farming,20000000,890400000,Layer-2,0.45,2023-06-01,8
FullHouse,FH,https://icodrops.com/fullhouse/,IDO on Spores,,75000000,Gambling,,2024-10-23,0
Boundlesspay,BPAY,https://icodrops.com/boundlesspay/,IDO on KingdomStarter,1100000,8000000,DeFi,,2024-10-21,5
Puffer Finance,PUFFER,https://icodrops.com/puffer-finance/,Launchpool on Bybit,24270000,750800000,Liquid Staking Prot…,1.51,2024-10-14,29
Cros,CROS,https://icodrops.com/cros/,SHO on DAO Maker,12400000,14480000,Layer-2,0.16,2024-10-14,0
ZeroBase,,https://icodrops.com/zerobase/,Funding Round,5000000,,Zero Knowledge,,2024-10-19,11
Musk Empire,,https://icodrops.com/musk-empire/,Tap-to-Earn,,,Gaming,,2024-10-17,0
Storm Trade,STORM,https://icodrops.com/storm-trade/,IDO on Eesee,150000,29240000,DEX,2.43,2024-10-14,9
Elixir,ELXR,https://icodrops.com/elixir-2/,Points Farming,17600000,800000000,DeFi,,2024-05-01,15
Rebel Bots Epic War,RBAX,https://icodrops.com/rebel-bots-epic-war/,SHO on DAO Maker,2100000,70000000,Gaming,,2024-10-08,13
