project_name,project_ticker,project_link,project_round,project_total_raised,project_pre_valuation,project_categories,project_roi,project_date,project_total_investors
Fuel Network,FUEL,https://icodrops.com/fuel-network/,Public Sale,$90.9 M,$703.2 M,Layer-2,3.59x,"Dec 17, 2024",15.0
ArkeFi,RKFI,https://icodrops.com/arkefi/,Public Sale,—,$20 M  ,Blockchain Service,—,"Dec 26, 2024",
Huddle01,,https://icodrops.com/huddle01/,Node Sale Round,$4.5 M,—,Social,—,"Nov 6, 2024",10.0
Qorbi World,QORBI,https://icodrops.com/qorbi-world/,IDO on MoonStarter,—,$10 M  ,GameFi,—,"Dec 28, 2024",
AZCoiner,AZC,https://icodrops.com/azcoiner/,IDO on Spores,—,$20 M  ,Blockchain Service,—,"Dec 27, 2024",
Sentient AI,SETAI,https://icodrops.com/sentient-ai/,IDO on Polkastarter,—,—,Artificial Intellig…,—,"Dec 27, 2024",
Swell Network,SWELL,https://icodrops.com/swell-network/,Points Farming,$3.75 M,$341.1 M,Liquid Staking Prot…,0.38x,"Jan 29, 2024",11.0
Hive Intelligence,HINT,https://icodrops.com/hive-intelligence/,Public Sale,$2.64 M,$8 M  ,Infrastructure,—,"Dec 20, 2024",
CratD2C,CRATD2C,https://icodrops.com/cratd2c/,IEO,$1.21 M,$160 M  ,Blockchain,—,"Dec 17, 2024",
Nexade,NEXD,https://icodrops.com/nexade/,SHO on DAO Maker,—,$70 M  ,RWA (Real World Ass…,—,"Dec 13, 2024",
Swing,SWING,https://icodrops.com/swing/,Public Sale,$9.75 M,$60 M  ,DeFi,0.21x,"Dec 18, 2024",10.0
Help Steps,HSX,https://icodrops.com/help-steps/,SHO on DAO Maker,—,$5 M  ,Move To Earn,—,"Dec 12, 2024",3.0
Ringfence,,https://icodrops.com/ringfence/,Airdrop,$1.5 M,—,Blockchain Service,—,"Dec 9, 2024",9.0
WELF,WELF,https://icodrops.com/welf/,IDO on Polkastarter,$3.45 M,$18 M  ,RWA (Real World Ass…,—,"Dec 18, 2024",
Glacier Network,GLS,https://icodrops.com/glacier-network/,Public Sale,$16 M,$10.76 M,Artificial Intellig…,0.32x,"Dec 18, 2024",18.0
Earn’M,EARNM,https://icodrops.com/earnm/,IDO on ChainGPT,$200 K,$92.1 M,DePIN,1.85x,"Dec 17, 2024",
Script Network,SCPT,https://icodrops.com/script-network/,Node Sale Round,$1.69 M,$8.53 M,Blockchain Service,0.91x,"Q4, 2024",
Pudgy Penguins,PENGU,https://icodrops.com/pudgy-penguins/,NFT Sale,$20 M,$3.52 B,Meme,0.65x,"Dec 17, 2024",9.0
