project_name,project_ticker,project_link,project_round,project_total_raised,project_pre_valuation,project_categories,project_roi,project_date,project_total_investors
Beam,BEAM,https://icodrops.com/beam/,Node Sale Round,$77.75 M,$1.69 B,Gaming,0.01x,"Q4, 2024",11.0
FLock,FLOCK,https://icodrops.com/flock-2/,Launchpool on Bybit,$9 M,$61.5 M,Artificial Intellig…,0.29x,"Dec 31, 2024",12.0
Sonic,SONIC,https://icodrops.com/sonic/,Liquidity Bootstrapping Pool,$12 M,$2.31 B,Blockchain,118.63x,in 27h,7.0
aiPump,AIPUMP,https://icodrops.com/aipump/,IDO on Polkastarter,—,$6 M  ,AI Agents,—,in 29h,
Zephyr,ZEFY,https://icodrops.com/zephyr/,Public Sale,$561 K,$5.5 M  ,DeFi,—,"Q3, 2024",
ArkeFi,RKFI,https://icodrops.com/arkefi/,IDO on Poolz,—,$20 M  ,Blockchain Service,—,"Jan 3, 2025",
BIO Protocol,BIO,https://icodrops.com/bio-protocol/,Binance Launchpool,$29.9 M,$2.33 B,DeSci,10.44x,"Dec 24, 2024",3.0
Pandana,PNDN,https://icodrops.com/pandana/,Presale,$722 K,$24 M  ,Memecoin,—,"Q4, 2024",
Fuel Network,FUEL,https://icodrops.com/fuel-network/,Public Sale,$90.9 M,$622 M,Layer-2,3.08x,"Dec 17, 2024",15.0
Huddle01,,https://icodrops.com/huddle01/,Node Sale Round,$4.5 M,—,Social,—,"Nov 6, 2024",10.0
