,name,ticker,round,raised,pre_valuation,investors,ecosystem,categories,roi,date
0,CratD2C,CRATD2C,IEO,$1.21 M,$160 M,—,Binance coin,Blockchain,—,"Dec 17, 2024"
1,Nexade,NEXD,SHO on DAO Maker,—,$70 M,—,Binance coin,RWA (Real World Ass…,—,"Dec 13, 2024"
2,Swing,SWING,Public Sale,$9.75 M,$60 M,+7,Arrington XRP Capital,Cross chain,—,"Dec 18, 2024"
3,Help Steps,HSX,SHO on DAO Maker,—,$5 M,,Amber Group,Move To Earn,—,"Dec 12, 2024"
4,Ringfence,-,Airdrop,$1.5 M,—,+6,Morningstar Ventures,Blockchain Service,—,"Dec 9, 2024"
5,Fuel Network,FUEL,IDO on Legion,$90.9 M,$463.1 M,+12,Bain Capital Ventures,Layer-2,2.35x,"Dec 16, 2024"
6,WELF,WELF,IDO on Polkastarter,$3.45 M,$18 M,—,Ethereum,RWA (Real World Ass…,—,"Dec 18, 2024"
7,Glacier Network,GLS,Public Sale,$16 M,$36.38 M,+15,Gate.io,Artificial Intellig…,1.09x,"Dec 18, 2024"
8,Earn’M,EARNM,IDO on ChainGPT,$200 K,$107.15 M,—,Gate.io,DePIN,2.16x,"Dec 17, 2024"
9,Script Network,SCPT,Node Sale Round,$1.69 M,$9.05 M,—,Script Network,Blockchain Service,0.96x,"Q4, 2024"
10,Pudgy Penguins,PENGU,NFT Sale,$20 M,$3.02 B,+6,1kx,Meme,0.08x,"Dec 17, 2024"
11,Terrace,TRC,Public Sale,$4.7 M,$25 M,+3,Hack VC,DeFi,—,"Dec 9, 2024"
12,vana,VANA,Binance Launchpool,$25 M,$2.03 B,,Paradigm,Artificial Intellig…,—,"Dec 14, 2024"
13,MyStandard,MYST,IDO on SeaPad,$1.9 M,$38 M,+1,Winklevoss Capital,Blockchain Service,—,"Dec 14, 2024"
14,Bluwhale,BLUAI,Node Sale Round,$7 M,—,+5,Momentum 6,Blockchain Service,—,"Nov 14, 2024"
15,Berally,BRLY,Whitelist Sale,—,—,—,Berachain,Social,—,"Dec 10, 2024"
16,STAGE,STAGE,IDO on Decubate,$4.6 M,$19.24 M,+9,Moonrock Capital,Social,1.55x,"Dec 8, 2024"
17,Cyclean,CCL,SHO on DAO Maker,$1.1 M,$35 M,—,Ethereum,Blockchain Platform,—,"Dec 7, 2024"
18,Pentagon Games,PEN,IDO on Chainboost,$6.3 M,$6.73 M,+6,Binance Labs,Gaming,1.01x,"Dec 11, 2024"
19,Simon's Cat,CAT,Airdrop,$28 K,$25.02 M,—,Binance coin,Memecoin,—,"Dec 9, 2024"
20,Wild Forest,WF,IDO on Impossible Finance,$500 K,$74.96 M,+1,The Spartan Group,Gaming,1.67x,"Dec 4, 2024"
